date,open_price,close_price,high_price,low_price,volume,EMA_5,EMA_20,signal
2023-09-19,177.52,179.07,179.63,177.13,51826941,177.60188447420862,179.63159993565938,0
2023-09-20,179.26,175.49,179.695,175.4,58436181,176.89792298280577,179.23716184647657,0
2023-09-21,174.55,173.93,176.3,173.86,63149116,175.90861532187054,178.73171786101392,0
2023-09-22,174.67,174.79,177.079,174.05,56725385,175.5357435479137,178.35631615990857,0
2023-09-25,174.2,176.08,176.97,174.15,46172740,175.7171623652758,178.1395241446497,0
2023-09-26,174.82,171.96,175.2,171.66,64588945,174.46477491018388,177.55099803556308,0
2023-09-27,172.62,170.43,173.04,169.05,66921808,173.11984994012258,176.8728077463864,0
2023-09-28,169.34,170.69,172.03,167.62,56294419,172.3098999600817,176.28396891333796,0
2023-09-29,172.02,171.21,173.07,170.341,51861083,171.94326664005447,175.80073377869033,0
2023-10-02,171.22,173.75,174.3,170.93,52164535,172.54551109336967,175.60542579975134,0
2023-10-03,172.255,172.4,173.63,170.82,49594613,172.49700739557977,175.30014715213323,0
2023-10-04,171.09,173.66,174.21,170.97,53020286,172.88467159705317,175.14394266144336,0
2023-10-05,173.79,174.91,175.45,172.68,48527918,173.5597810647021,175.1216624079712,0
2023-10-06,173.8,177.49,177.99,173.18,57266675,174.86985404313472,175.34721836912925,-1
2023-10-09,176.81,178.99,179.05,175.8,42390772,176.2432360287565,175.69414995303904,0
2023-10-10,178.1,178.39,179.72,177.95,43698019,176.95882401917098,175.95089757657072,0
2023-10-11,178.2,179.8,179.85,177.6,47551098,177.90588267944733,176.31747875976947,0
2023-10-12,180.07,180.71,182.34,179.04,56743119,178.84058845296488,176.73581411599739,0
2023-10-13,181.42,178.85,181.93,178.14,51456082,178.84372563530994,176.9371651525758,0
2023-10-16,176.75,178.72,179.075,176.51,52516984,178.80248375687327,177.10695894757373,1
2023-10-17,176.645,177.15,178.42,174.8,57549350,178.25165583791554,177.11105809542397,-1
2023-10-18,175.58,175.84,177.575,175.11,54764375,177.44777055861036,176.9900049434758,1
2023-10-19,176.04,175.46,177.84,175.19,59302863,176.7851803724069,176.84429018695104,0
2023-10-20,175.31,172.88,175.42,172.64,64244028,175.4834535816046,176.4667387405671,0
